Div,Date,home_away,team,score,opp_score,Pts,win,goal_diff,points_running,gd_running,wins_running,match_count
F1,05/08/2022,AwayTeam,Ajaccio,1,2,0,0,-1,0,-1,0,1
F1,06/08/2022,HomeTeam,Strasbourg,1,2,0,0,-1,0,-1,0,1
F1,06/08/2022,AwayTeam,Monaco,2,1,3,1,1,3,1,1,1
F1,06/08/2022,HomeTeam,Clermont,0,5,0,0,-5,0,-5,0,1
F1,06/08/2022,AwayTeam,Paris SG,5,0,3,1,5,3,5,1,1
F1,07/08/2022,HomeTeam,Toulouse,1,1,1,0,0,1,0,0,1
F1,07/08/2022,AwayTeam,Nice,1,1,1,0,0,1,0,0,1
F1,07/08/2022,HomeTeam,Angers,0,0,1,0,0,1,0,0,1
F1,07/08/2022,AwayTeam,Nantes,0,0,1,0,0,1,0,0,1
F1,07/08/2022,HomeTeam,Lens,3,2,3,1,1,3,1,1,1
F1,07/08/2022,AwayTeam,Brest,2,3,0,0,-1,0,-1,0,1
F1,07/08/2022,HomeTeam,Lille,4,1,3,1,3,3,3,1,1
F1,07/08/2022,AwayTeam,Auxerre,1,4,0,0,-3,0,-3,0,1
F1,07/08/2022,HomeTeam,Montpellier,3,2,3,1,1,3,1,1,1
F1,07/08/2022,AwayTeam,Troyes,2,3,0,0,-1,0,-1,0,1
F1,07/08/2022,HomeTeam,Rennes,0,1,0,0,-1,0,-1,0,1
F1,07/08/2022,AwayTeam,Lorient,1,0,3,1,1,3,1,1,1
F1,07/08/2022,HomeTeam,Marseille,4,1,3,1,3,3,3,1,1
F1,07/08/2022,AwayTeam,Reims,1,4,0,0,-3,0,-3,0,1
F1,12/08/2022,HomeTeam,Nantes,1,1,1,0,0,2,0,0,2
F1,12/08/2022,AwayTeam,Lille,1,1,1,0,0,4,3,1,2
F1,13/08/2022,HomeTeam,Monaco,1,1,1,0,0,4,1,1,2
F1,13/08/2022,AwayTeam,Rennes,1,1,1,0,0,1,-1,0,2
F1,13/08/2022,HomeTeam,Paris SG,5,2,3,1,3,6,8,2,2
F1,13/08/2022,AwayTeam,Montpellier,2,5,0,0,-3,3,-2,1,2
F1,14/08/2022,HomeTeam,Ajaccio,0,0,1,0,0,1,-1,0,2
F1,14/08/2022,AwayTeam,Lens,0,0,1,0,0,4,1,1,2
F1,14/08/2022,HomeTeam,Auxerre,2,2,1,0,0,1,-3,0,2
F1,14/08/2022,AwayTeam,Angers,2,2,1,0,0,2,0,0,2
F1,14/08/2022,HomeTeam,Reims,2,4,0,0,-2,0,-5,0,2
F1,14/08/2022,AwayTeam,Clermont,4,2,3,1,2,3,-3,1,2
F1,14/08/2022,HomeTeam,Troyes,0,3,0,0,-3,0,-4,0,2
F1,14/08/2022,AwayTeam,Toulouse,3,0,3,1,3,4,3,1,2
F1,14/08/2022,HomeTeam,Nice,1,1,1,0,0,2,0,0,2
F1,14/08/2022,AwayTeam,Strasbourg,1,1,1,0,0,1,-1,0,2
F1,14/08/2022,HomeTeam,Brest,1,1,1,0,0,1,-1,0,2
F1,14/08/2022,AwayTeam,Marseille,1,1,1,0,0,4,3,1,2
F1,19/08/2022,HomeTeam,Lyon,4,1,3,1,3,6,4,2,2
F1,19/08/2022,AwayTeam,Troyes,1,4,0,0,-3,0,-7,0,3
F1,20/08/2022,HomeTeam,Monaco,1,4,0,0,-3,4,-2,1,3
F1,20/08/2022,AwayTeam,Lens,4,1,3,1,3,7,4,2,3
F1,20/08/2022,HomeTeam,Marseille,2,1,3,1,1,7,4,2,3
F1,20/08/2022,AwayTeam,Nantes,1,2,0,0,-1,2,-1,0,3
F1,21/08/2022,HomeTeam,Strasbourg,1,1,1,0,0,2,-1,0,3
F1,21/08/2022,AwayTeam,Reims,1,1,1,0,0,1,-5,0,3
F1,21/08/2022,HomeTeam,Angers,1,3,0,0,-2,2,-2,0,3
F1,21/08/2022,AwayTeam,Brest,3,1,3,1,2,4,1,1,3
F1,21/08/2022,HomeTeam,Clermont,1,0,3,1,1,6,-2,2,3
F1,21/08/2022,AwayTeam,Nice,0,1,0,0,-1,2,-1,0,3
F1,21/08/2022,HomeTeam,Montpellier,1,2,0,0,-1,3,-3,1,3
F1,21/08/2022,AwayTeam,Auxerre,2,1,3,1,1,4,-2,1,3
F1,21/08/2022,HomeTeam,Toulouse,2,2,1,0,0,5,3,1,3
F1,21/08/2022,AwayTeam,Lorient,2,2,1,0,0,4,1,1,2
F1,21/08/2022,HomeTeam,Rennes,2,1,3,1,1,4,0,1,3
F1,21/08/2022,AwayTeam,Ajaccio,1,2,0,0,-1,1,-2,0,3
F1,21/08/2022,HomeTeam,Lille,1,7,0,0,-6,4,-3,1,3
F1,21/08/2022,AwayTeam,Paris SG,7,1,3,1,6,9,14,3,3
I1,13/08/2022,HomeTeam,Milan,4,2,3,1,2,3,2,1,1
I1,13/08/2022,AwayTeam,Udinese,2,4,0,0,-2,0,-2,0,1
I1,13/08/2022,HomeTeam,Sampdoria,0,2,0,0,-2,0,-2,0,1
I1,13/08/2022,AwayTeam,Atalanta,2,0,3,1,2,3,2,1,1
I1,13/08/2022,HomeTeam,Lecce,1,2,0,0,-1,0,-1,0,1
I1,13/08/2022,AwayTeam,Inter,2,1,3,1,1,3,1,1,1
I1,13/08/2022,HomeTeam,Monza,1,2,0,0,-1,0,-1,0,1
I1,13/08/2022,AwayTeam,Torino,2,1,3,1,1,3,1,1,1
I1,14/08/2022,HomeTeam,Fiorentina,3,2,3,1,1,3,1,1,1
I1,14/08/2022,AwayTeam,Cremonese,2,3,0,0,-1,0,-1,0,1
I1,14/08/2022,HomeTeam,Lazio,2,1,3,1,1,3,1,1,1
I1,14/08/2022,AwayTeam,Bologna,1,2,0,0,-1,0,-1,0,1
I1,14/08/2022,HomeTeam,Salernitana,0,1,0,0,-1,0,-1,0,1
I1,14/08/2022,AwayTeam,Roma,1,0,3,1,1,3,1,1,1
I1,14/08/2022,HomeTeam,Spezia,1,0,3,1,1,3,1,1,1
I1,14/08/2022,AwayTeam,Empoli,0,1,0,0,-1,0,-1,0,1
I1,15/08/2022,HomeTeam,Verona,2,5,0,0,-3,0,-3,0,1
I1,15/08/2022,AwayTeam,Napoli,5,2,3,1,3,3,3,1,1
I1,15/08/2022,HomeTeam,Juventus,3,0,3,1,3,3,3,1,1
I1,15/08/2022,AwayTeam,Sassuolo,0,3,0,0,-3,0,-3,0,1
I1,20/08/2022,HomeTeam,Torino,0,0,1,0,0,4,1,1,2
I1,20/08/2022,AwayTeam,Lazio,0,0,1,0,0,4,1,1,2
I1,20/08/2022,HomeTeam,Udinese,0,0,1,0,0,1,-2,0,2
I1,20/08/2022,AwayTeam,Salernitana,0,0,1,0,0,1,-1,0,2
I1,20/08/2022,HomeTeam,Inter,3,0,3,1,3,6,4,2,2
I1,20/08/2022,AwayTeam,Spezia,0,3,0,0,-3,3,-2,1,2
I1,20/08/2022,HomeTeam,Sassuolo,1,0,3,1,1,3,-2,1,2
I1,20/08/2022,AwayTeam,Lecce,0,1,0,0,-1,0,-2,0,2
I1,21/08/2022,HomeTeam,Empoli,0,0,1,0,0,1,-1,0,2
I1,21/08/2022,AwayTeam,Fiorentina,0,0,1,0,0,4,1,1,2
I1,21/08/2022,HomeTeam,Napoli,4,0,3,1,4,6,7,2,2
I1,21/08/2022,AwayTeam,Monza,0,4,0,0,-4,0,-5,0,2
I1,21/08/2022,HomeTeam,Atalanta,1,1,1,0,0,4,2,1,2
I1,21/08/2022,AwayTeam,Milan,1,1,1,0,0,4,2,1,2
I1,21/08/2022,HomeTeam,Bologna,1,1,1,0,0,1,-1,0,2
I1,21/08/2022,AwayTeam,Verona,1,1,1,0,0,1,-3,0,2
Liga 1,15/07/2022,Home,FC Hermannstadt,3,0,3,1,3,3,3,1,1
Liga 1,15/07/2022,Away,Mioveni,0,3,0,0,-3,0,-3,0,1
Liga 1,15/07/2022,Home,Univ. Craiova,2,2,1,0,0,1,0,0,1
Liga 1,15/07/2022,Away,Sepsi Sf. Gheorghe,2,2,1,0,0,1,0,0,1
Liga 1,16/07/2022,Home,FC Arges,2,0,3,1,2,3,2,1,1
Liga 1,16/07/2022,Away,UTA Arad,0,2,0,0,-2,0,-2,0,1
Liga 1,16/07/2022,Home,CFR Cluj,1,0,3,1,1,3,1,1,1
Liga 1,16/07/2022,Away,FC Rapid Bucuresti,0,1,0,0,-1,0,-1,0,1
Liga 1,17/07/2022,Home,Farul Constanta,2,1,3,1,1,3,1,1,1
Liga 1,17/07/2022,Away,U Craiova 1948,1,2,0,0,-1,0,-1,0,1
Liga 1,17/07/2022,Home,FCSB,1,1,1,0,0,1,0,0,1
Liga 1,17/07/2022,Away,U. Cluj,1,1,1,0,0,1,0,0,1
Liga 1,18/07/2022,Home,FC Botosani,3,2,3,1,1,3,1,1,1
Liga 1,18/07/2022,Away,Chindia Targoviste,2,3,0,0,-1,0,-1,0,1
Liga 1,18/07/2022,Home,Petrolul,0,1,0,0,-1,0,-1,0,1
Liga 1,18/07/2022,Away,FC Voluntari,1,0,3,1,1,3,1,1,1
Liga 1,22/07/2022,Home,Mioveni,0,2,0,0,-2,0,-5,0,2
Liga 1,22/07/2022,Away,Farul Constanta,2,0,3,1,2,6,3,2,2
Liga 1,23/07/2022,Home,FC Voluntari,0,1,0,0,-1,3,0,1,2
Liga 1,23/07/2022,Away,FC Botosani,1,0,3,1,1,6,2,2,2
